SurveyResultKey,SurveyKey,SurveyName,SurveyVersion,ParticipantIdentifier,SurveyTaskKey,Type,StartDate,EndDate,DevicePlatform,DeviceName,DeviceOSVersion,InsertedDate
0b2edc1f-e755-ed11-aac1-0afb9334277d,65539085-f331-ec11-aab2-0afb9334277d,task_survey_motivation,5,2baee05a-5e5a-4436-8c25-2628d46d1e08,a44cf6d3-d755-ed11-aac1-0afb9334277d,Survey,2022-10-27T07:04:23-04:00,2022-10-27T07:04:34-04:00,iOS,"iPhone13,2",16.0,2022-10-27T11:04:34Z
30840b50-e755-ed11-aac1-0afb9334277d,98a85f7f-e2d6-ec11-aaba-0afb9334277d,survey_daily-affect-custom-morning,2,2baee05a-5e5a-4436-8c25-2628d46d1e08,1f4ef6d3-d755-ed11-aac1-0afb9334277d,Survey,2022-10-27T07:04:48-04:00,2022-10-27T07:05:49-04:00,iOS,"iPhone13,2",16.0,2022-10-27T11:05:49Z
8a08f661-e755-ed11-aac1-0afb9334277d,a440594e-cf64-eb11-aaa4-0afb9334277d,task_hk_reaction_time,0,2baee05a-5e5a-4436-8c25-2628d46d1e08,a44ff6d3-d755-ed11-aac1-0afb9334277d,Survey,2022-10-27T07:05:54-04:00,2022-10-27T07:06:22-04:00,iOS,"iPhone13,2",16.0,2022-10-27T11:06:22Z
f744277a-e755-ed11-aac1-0afb9334277d,956c3f6c-cf64-eb11-aaa4-0afb9334277d,task_hk_stroop,1,2baee05a-5e5a-4436-8c25-2628d46d1e08,439201da-d755-ed11-aac1-0afb9334277d,Survey,2022-10-27T07:06:32-04:00,2022-10-27T07:07:05-04:00,iOS,"iPhone13,2",16.0,2022-10-27T11:07:05Z
be694392-e755-ed11-aac1-0afb9334277d,30b5277e-cf64-eb11-aaa4-0afb9334277d,task_hk_tower_of_hanoi,0,2baee05a-5e5a-4436-8c25-2628d46d1e08,319401da-d755-ed11-aac1-0afb9334277d,Survey,2022-10-27T07:07:09-04:00,2022-10-27T07:07:41-04:00,iOS,"iPhone13,2",16.0,2022-10-27T11:07:41Z
82f14f9e-e755-ed11-aac1-0afb9334277d,448c340b-ed6b-eb11-aaa4-0afb9334277d,task_hk_trail_making,0,2baee05a-5e5a-4436-8c25-2628d46d1e08,e39501da-d755-ed11-aac1-0afb9334277d,Survey,2022-10-27T07:07:47-04:00,2022-10-27T07:08:08-04:00,iOS,"iPhone13,2",16.0,2022-10-27T11:08:08Z
37d837b0-e755-ed11-aac1-0afb9334277d,1dbf3011-565c-ec11-aab5-0afb9334277d,task_hk_trailmaking_a1,1,2baee05a-5e5a-4436-8c25-2628d46d1e08,899701da-d755-ed11-aac1-0afb9334277d,Survey,2022-10-27T07:08:13-04:00,2022-10-27T07:08:31-04:00,iOS,"iPhone13,2",16.0,2022-10-27T11:08:31Z
864730bc-e755-ed11-aac1-0afb9334277d,6a556f5c-ec31-ec11-aab2-0afb9334277d,task_survey_NASA_TLX,3,2baee05a-5e5a-4436-8c25-2628d46d1e08,90dafbe5-d755-ed11-aac1-0afb9334277d,Survey,2022-10-27T07:08:39-04:00,2022-10-27T07:08:53-04:00,iOS,"iPhone13,2",16.0,2022-10-27T11:08:53Z
02c018d4-e755-ed11-aac1-0afb9334277d,42ec94da-5e37-ec11-aab3-0afb9334277d,task_custom_bart-left-skewed,13,2baee05a-5e5a-4436-8c25-2628d46d1e08,04fcf9df-d755-ed11-aac1-0afb9334277d,Survey,2022-10-27T07:09:00-04:00,2022-10-27T07:09:33-04:00,iOS,"iPhone13,2",16.0,2022-10-27T11:09:33Z
677a77ec-e755-ed11-aac1-0afb9334277d,9b8c2783-5635-ed11-aabf-0afb9334277d,task_custom_gonogo,32,2baee05a-5e5a-4436-8c25-2628d46d1e08,7ed7fbe5-d755-ed11-aac1-0afb9334277d,Survey,2022-10-27T07:09:37-04:00,2022-10-27T07:10:16-04:00,iOS,"iPhone13,2",16.0,2022-10-27T11:10:16Z
