StudyDay,ParticipantIdentifier,SR_affect_neg_angry,SR_affect_neg_angry_am,SR_affect_neg_ashamed,SR_affect_neg_ashamed_am,SR_affect_neg_bored,SR_affect_neg_bored_am,SR_affect_neg_depressed,SR_affect_neg_depressed_am,SR_affect_neg_embarrassed,SR_affect_neg_embarrassed_am,SR_affect_neg_frustrated,SR_affect_neg_frustrated_am,SR_affect_neg_guilty,SR_affect_neg_guilty_am,SR_affect_neg_lazy,SR_affect_neg_lazy_am,SR_affect_neg_lonelyIsolated,SR_affect_neg_lonelyIsolated_am,SR_affect_neg_nervousAnxious,SR_affect_neg_nervousAnxious_am,SR_affect_neg_sad,SR_affect_neg_sad_am,SR_affect_neg_stressed,SR_affect_neg_stressed_am,SR_affect_pos_amused,SR_affect_pos_amused_am,SR_affect_pos_appreciated,SR_affect_pos_appreciated_am,SR_affect_pos_excited,SR_affect_pos_excited_am,SR_affect_pos_focused,SR_affect_pos_focused_am,SR_affect_pos_happy,SR_affect_pos_happy_am,SR_affect_pos_hopeful,SR_affect_pos_hopeful_am,SR_affect_pos_motivated,SR_affect_pos_motivated_am,SR_affect_pos_relaxedCalm,SR_affect_pos_relaxedCalm_am,drinks_gap,exercise_gap,leisureNonSolo_gap,leisureSolo_gap,nonoccupation_gap,occupation_gap,sleep_gap,socialMedia_gap
2022-09-30,2baee05a-5e5a-4436-8c25-2628d46d1e08,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,4.0,2.0,2.0,2.0,4.0,1.0,3.0,4.0,1.0,2.0,4.0,3.0,2.0,2.0,4.0,4.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,4.0,4.0,4.0,2.0,4.0,4.0,3.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-09-30,2dd6e3c2-398e-4de2-bce3-280069760001,2.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,1.0,3.0,2.0,1.0,1.0,1.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,2.0,4.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,3.0,3.0,2.0,2.0,2.0,4.0,3.0,4.0,3.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-09-30,2f32cd19-e9c5-4aad-8999-6f4646169ab6,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,2.0,,1.0,,2.0,,2.0,,4.0,,3.0,,2.0,,2.0,,3.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-09-30,3223b573-6de0-4aeb-b005-dd2e467b1e62,2.0,,5.0,,4.0,,3.0,,2.0,,4.0,,5.0,,5.0,,5.0,,5.0,,5.0,,3.0,,2.0,,1.0,,1.0,,2.0,,1.0,,2.0,,1.0,,2.0,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-09-30,329e2c06-a903-44ce-a409-8ed8c580b124,3.0,,3.0,,3.0,,4.0,,3.0,,4.0,,4.0,,4.0,,5.0,,4.0,,4.0,,5.0,,2.0,,1.0,,1.0,,1.0,,2.0,,1.0,,3.0,,2.0,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-09-30,32c4b5db-3371-4b5d-b035-3c790cb76a37,3.0,,2.0,,3.0,,3.0,,1.0,,5.0,,3.0,,1.0,,2.0,,4.0,,1.0,,5.0,,3.0,,4.0,,2.0,,5.0,,4.0,,2.0,,5.0,,2.0,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-09-30,38bcd1b2-f8bc-48ee-bff2-5bca24012983,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,4.0,1.0,1.0,3.0,2.0,3.0,4.0,3.0,3.0,1.0,3.0,4.0,3.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-09-30,39d785c6-9e3d-44c2-88ec-2ce14ef923f9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,4.0,3.0,1.0,1.0,2.0,1.0,3.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,4.0,4.0,2.0,2.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-09-30,39efadc3-7957-4b75-b560-d0d6c89cfe8b,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,4.0,2.0,1.0,1.0,4.0,4.0,2.0,1.0,2.0,2.0,2.0,1.0,4.0,4.0,3.0,3.0,3.0,1.0,3.0,3.0,1.0,3.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-09-30,3ae93375-05c4-494d-9ed1-b5fbd3340507,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-09-30,3bb57dd9-1d69-471c-b769-b3323748bb9f,1.0,,1.0,,1.0,,1.0,,1.0,,2.0,,1.0,,2.0,,1.0,,5.0,,1.0,,5.0,,1.0,,2.0,,1.0,,4.0,,2.0,,2.0,,1.0,,1.0,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-09-30,3bda5c1a-959c-4f73-b27a-96c8a8801a3c,1.0,1.0,1.0,1.0,3.0,2.0,4.0,4.0,1.0,1.0,2.0,3.0,1.0,1.0,5.0,5.0,4.0,2.0,1.0,1.0,3.0,1.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,3.0,1.0,2.0,2.0,4.0,2.0,4.0,3.0,4.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-09-30,412330b3-cc02-4030-96cd-f4cfdcc45fa6,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,3.0,3.0,1.0,2.0,1.0,1.0,3.0,2.0,3.0,5.0,3.0,2.0,2.0,2.0,3.0,4.0,5.0,5.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-09-30,4217d9ff-07c0-42a5-9da9-f2e351b40709,4.0,,1.0,,3.0,,1.0,,1.0,,5.0,,1.0,,4.0,,2.0,,3.0,,1.0,,4.0,,1.0,,4.0,,3.0,,4.0,,2.0,,2.0,,1.0,,1.0,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-09-30,43adea65-466c-4891-8bd9-301c4d6560c8,1.0,,1.0,,2.0,,1.0,,1.0,,1.0,,1.0,,3.0,,1.0,,1.0,,2.0,,2.0,,5.0,,5.0,,5.0,,3.0,,5.0,,5.0,,4.0,,5.0,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-09-30,4965aa0d-a7a9-4d1c-b835-3f79a29e0d39,3.0,,3.0,,3.0,,3.0,,3.0,,3.0,,3.0,,3.0,,3.0,,3.0,,3.0,,3.0,,3.0,,3.0,,3.0,,3.0,,3.0,,3.0,,3.0,,3.0,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-09-30,4dce333c-4a55-4531-860a-3ec0babdd176,3.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,4.0,2.0,2.0,1.0,4.0,3.0,2.0,1.0,5.0,2.0,3.0,2.0,4.0,3.0,5.0,5.0,4.0,4.0,2.0,4.0,2.0,4.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,5.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-09-30,596d1036-bafa-47c3-9886-a588a37789bb,5.0,,5.0,,1.0,,4.0,,5.0,,5.0,,5.0,,2.0,,4.0,,5.0,,5.0,,5.0,,1.0,,2.0,,2.0,,2.0,,2.0,,2.0,,3.0,,2.0,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-09-30,5bbaec14-546b-4fdb-985a-4065b4742339,2.0,,1.0,,2.0,,1.0,,1.0,,2.0,,1.0,,2.0,,1.0,,1.0,,1.0,,2.0,,4.0,,4.0,,4.0,,4.0,,4.0,,4.0,,4.0,,3.0,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-09-30,5e0ae9ff-7cb8-499d-bee1-b1226869c14e,2.0,1.0,1.0,1.0,3.0,3.0,1.0,2.0,1.0,2.0,4.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,4.0,3.0,4.0,1.0,4.0,4.0,2.0,2.0,1.0,1.0,3.0,4.0,3.0,3.0,3.0,3.0,1.0,2.0,3.0,3.0,2.0,4.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
