SurveyResultKey,SurveyKey,SurveyName,SurveyVersion,ParticipantIdentifier,SurveyTaskKey,Type,StartDate,EndDate,DevicePlatform,DeviceName,DeviceOSVersion,InsertedDate
ad4b9b92-784c-ed11-aac0-0afb9334277d,217f9e1b-e767-eb11-aaa4-0afb9334277d,task_hk_spatial_span_memory,1,596d1036-bafa-47c3-9886-a588a37789bb,658c01e4-694c-ed11-aac0-0afb9334277d,Survey,2022-10-15T06:59:33-04:00,2022-10-15T07:00:36-04:00,iOS,"iPhone8,1",15.6.1,2022-10-15T11:00:36Z
571956d4-784c-ed11-aac0-0afb9334277d,4bfb5eb9-9e7f-eb11-aaa6-0afb9334277d,task_hk_addition_task,2,596d1036-bafa-47c3-9886-a588a37789bb,309c09de-694c-ed11-aac0-0afb9334277d,Survey,2022-10-15T07:00:43-04:00,2022-10-15T07:02:25-04:00,iOS,"iPhone8,1",15.6.1,2022-10-15T11:02:25Z
20f93fec-784c-ed11-aac0-0afb9334277d,98a85f7f-e2d6-ec11-aaba-0afb9334277d,survey_daily-affect-custom-morning,2,fed3a16b-c5a3-4a84-a111-32b7574e04b5,6c9009de-694c-ed11-aac0-0afb9334277d,Survey,2022-10-15T07:02:44-04:00,2022-10-15T07:03:05-04:00,iOS,"iPhone11,8",16.0,2022-10-15T11:03:05Z
4a5e38f2-784c-ed11-aac0-0afb9334277d,30b5277e-cf64-eb11-aaa4-0afb9334277d,task_hk_tower_of_hanoi,0,596d1036-bafa-47c3-9886-a588a37789bb,9a9609de-694c-ed11-aac0-0afb9334277d,Survey,2022-10-15T07:02:33-04:00,2022-10-15T07:03:13-04:00,iOS,"iPhone8,1",15.6.1,2022-10-15T11:03:14Z
ad232104-794c-ed11-aac0-0afb9334277d,956c3f6c-cf64-eb11-aaa4-0afb9334277d,task_hk_stroop,1,fed3a16b-c5a3-4a84-a111-32b7574e04b5,b19409de-694c-ed11-aac0-0afb9334277d,Survey,2022-10-15T07:03:11-04:00,2022-10-15T07:03:37-04:00,iOS,"iPhone11,8",16.0,2022-10-15T11:03:38Z
42292104-794c-ed11-aac0-0afb9334277d,65539085-f331-ec11-aab2-0afb9334277d,task_survey_motivation,5,fed3a16b-c5a3-4a84-a111-32b7574e04b5,985511d8-694c-ed11-aac0-0afb9334277d,Survey,2022-10-15T07:03:43-04:00,2022-10-15T07:03:46-04:00,iOS,"iPhone11,8",16.0,2022-10-15T11:03:46Z
dd451610-794c-ed11-aac0-0afb9334277d,98a85f7f-e2d6-ec11-aaba-0afb9334277d,survey_daily-affect-custom-morning,2,596d1036-bafa-47c3-9886-a588a37789bb,759009de-694c-ed11-aac0-0afb9334277d,Survey,2022-10-15T07:03:18-04:00,2022-10-15T07:04:03-04:00,iOS,"iPhone8,1",15.6.1,2022-10-15T11:04:04Z
5a13081c-794c-ed11-aac0-0afb9334277d,a440594e-cf64-eb11-aaa4-0afb9334277d,task_hk_reaction_time,0,fed3a16b-c5a3-4a84-a111-32b7574e04b5,859209de-694c-ed11-aac0-0afb9334277d,Survey,2022-10-15T07:03:50-04:00,2022-10-15T07:04:18-04:00,iOS,"iPhone11,8",16.0,2022-10-15T11:04:18Z
b7c90322-794c-ed11-aac0-0afb9334277d,30b5277e-cf64-eb11-aaa4-0afb9334277d,task_hk_tower_of_hanoi,0,fed3a16b-c5a3-4a84-a111-32b7574e04b5,8b9609de-694c-ed11-aac0-0afb9334277d,Survey,2022-10-15T07:04:24-04:00,2022-10-15T07:04:27-04:00,iOS,"iPhone11,8",16.0,2022-10-15T11:04:27Z
7844fc27-794c-ed11-aac0-0afb9334277d,6a556f5c-ec31-ec11-aab2-0afb9334277d,task_survey_NASA_TLX,3,596d1036-bafa-47c3-9886-a588a37789bb,309501e4-694c-ed11-aac0-0afb9334277d,Survey,2022-10-15T07:04:09-04:00,2022-10-15T07:04:43-04:00,iOS,"iPhone8,1",15.6.1,2022-10-15T11:04:43Z
