SurveyReactionTimeResultKey,SurveyStepResultKey,SurveyResultKey,ParticipantIdentifier,ReactionTime,StartDate,EndDate
7013081c-794c-ed11-aac0-0afb9334277d,6313081c-794c-ed11-aac0-0afb9334277d,5a13081c-794c-ed11-aac0-0afb9334277d,fed3a16b-c5a3-4a84-a111-32b7574e04b5,28818.367507583334,2022-10-15T07:03:57-04:00,2022-10-15T07:03:57-04:00
7213081c-794c-ed11-aac0-0afb9334277d,6313081c-794c-ed11-aac0-0afb9334277d,5a13081c-794c-ed11-aac0-0afb9334277d,fed3a16b-c5a3-4a84-a111-32b7574e04b5,28826.491888708337,2022-10-15T07:04:05-04:00,2022-10-15T07:04:05-04:00
7413081c-794c-ed11-aac0-0afb9334277d,6313081c-794c-ed11-aac0-0afb9334277d,5a13081c-794c-ed11-aac0-0afb9334277d,fed3a16b-c5a3-4a84-a111-32b7574e04b5,28838.213623833337,2022-10-15T07:04:16-04:00,2022-10-15T07:04:16-04:00
68772354-974c-ed11-aac0-0afb9334277d,28772354-974c-ed11-aac0-0afb9334277d,0a772354-974c-ed11-aac0-0afb9334277d,01801252-3a7e-4f5f-8b6d-49e8da3902f3,15820.255637375001,2022-10-15T07:40:13-07:00,2022-10-15T07:40:13-07:00
71772354-974c-ed11-aac0-0afb9334277d,28772354-974c-ed11-aac0-0afb9334277d,0a772354-974c-ed11-aac0-0afb9334277d,01801252-3a7e-4f5f-8b6d-49e8da3902f3,15828.009900541667,2022-10-15T07:40:21-07:00,2022-10-15T07:40:21-07:00
73772354-974c-ed11-aac0-0afb9334277d,28772354-974c-ed11-aac0-0afb9334277d,0a772354-974c-ed11-aac0-0afb9334277d,01801252-3a7e-4f5f-8b6d-49e8da3902f3,15839.482172833334,2022-10-15T07:40:33-07:00,2022-10-15T07:40:33-07:00
11e5dcb9-814c-ed11-aac0-0afb9334277d,05e5dcb9-814c-ed11-aac0-0afb9334277d,fae4dcb9-814c-ed11-aac0-0afb9334277d,7d501571-5d23-4f09-9266-1644f4f71add,74690.943608333342,2022-10-15T08:05:42-04:00,2022-10-15T08:05:42-04:00
12e5dcb9-814c-ed11-aac0-0afb9334277d,05e5dcb9-814c-ed11-aac0-0afb9334277d,fae4dcb9-814c-ed11-aac0-0afb9334277d,7d501571-5d23-4f09-9266-1644f4f71add,74698.504571124999,2022-10-15T08:05:50-04:00,2022-10-15T08:05:50-04:00
13e5dcb9-814c-ed11-aac0-0afb9334277d,05e5dcb9-814c-ed11-aac0-0afb9334277d,fae4dcb9-814c-ed11-aac0-0afb9334277d,7d501571-5d23-4f09-9266-1644f4f71add,74709.833119250005,2022-10-15T08:06:01-04:00,2022-10-15T08:06:01-04:00
6eba0ee8-834c-ed11-aac0-0afb9334277d,53ba0ee8-834c-ed11-aac0-0afb9334277d,38ba0ee8-834c-ed11-aac0-0afb9334277d,8a5a92f3-472a-4a39-bfd8-f43f60fdcd27,134453.16414241667,2022-10-15T08:21:17-04:00,2022-10-15T08:21:17-04:00
71ba0ee8-834c-ed11-aac0-0afb9334277d,53ba0ee8-834c-ed11-aac0-0afb9334277d,38ba0ee8-834c-ed11-aac0-0afb9334277d,8a5a92f3-472a-4a39-bfd8-f43f60fdcd27,134460.64640283334,2022-10-15T08:21:24-04:00,2022-10-15T08:21:24-04:00
73ba0ee8-834c-ed11-aac0-0afb9334277d,53ba0ee8-834c-ed11-aac0-0afb9334277d,38ba0ee8-834c-ed11-aac0-0afb9334277d,8a5a92f3-472a-4a39-bfd8-f43f60fdcd27,134471.86351045835,2022-10-15T08:21:35-04:00,2022-10-15T08:21:35-04:00
f71c0072-844c-ed11-aac0-0afb9334277d,e91c0072-844c-ed11-aac0-0afb9334277d,df1c0072-844c-ed11-aac0-0afb9334277d,bbd82a98-a1c9-4229-afc3-cc201067b909,65458.577901833334,2022-10-15T08:25:06-04:00,2022-10-15T08:25:06-04:00
f91c0072-844c-ed11-aac0-0afb9334277d,e91c0072-844c-ed11-aac0-0afb9334277d,df1c0072-844c-ed11-aac0-0afb9334277d,bbd82a98-a1c9-4229-afc3-cc201067b909,65468.758323750008,2022-10-15T08:25:16-04:00,2022-10-15T08:25:16-04:00
fa1c0072-844c-ed11-aac0-0afb9334277d,e91c0072-844c-ed11-aac0-0afb9334277d,df1c0072-844c-ed11-aac0-0afb9334277d,bbd82a98-a1c9-4229-afc3-cc201067b909,65480.693092375004,2022-10-15T08:25:28-04:00,2022-10-15T08:25:28-04:00
048fc2a5-874c-ed11-aac0-0afb9334277d,f48ec2a5-874c-ed11-aac0-0afb9334277d,e88ec2a5-874c-ed11-aac0-0afb9334277d,76acef3c-d659-4fdd-b258-3668a1597584,661373.86524850002,2022-10-15T08:47:39-04:00,2022-10-15T08:47:39-04:00
068fc2a5-874c-ed11-aac0-0afb9334277d,f48ec2a5-874c-ed11-aac0-0afb9334277d,e88ec2a5-874c-ed11-aac0-0afb9334277d,76acef3c-d659-4fdd-b258-3668a1597584,661402.84589462506,2022-10-15T08:48:07-04:00,2022-10-15T08:48:07-04:00
078fc2a5-874c-ed11-aac0-0afb9334277d,f48ec2a5-874c-ed11-aac0-0afb9334277d,e88ec2a5-874c-ed11-aac0-0afb9334277d,76acef3c-d659-4fdd-b258-3668a1597584,661412.98123841675,2022-10-15T08:48:17-04:00,2022-10-15T08:48:17-04:00
449a4443-8a4c-ed11-aac0-0afb9334277d,369a4443-8a4c-ed11-aac0-0afb9334277d,2c9a4443-8a4c-ed11-aac0-0afb9334277d,5e509967-0d3b-4fe1-a275-231ba42473d5,321218.46012816671,2022-10-15T09:06:48-04:00,2022-10-15T09:06:48-04:00
459a4443-8a4c-ed11-aac0-0afb9334277d,369a4443-8a4c-ed11-aac0-0afb9334277d,2c9a4443-8a4c-ed11-aac0-0afb9334277d,5e509967-0d3b-4fe1-a275-231ba42473d5,321226.14908025,2022-10-15T09:06:56-04:00,2022-10-15T09:06:56-04:00
469a4443-8a4c-ed11-aac0-0afb9334277d,369a4443-8a4c-ed11-aac0-0afb9334277d,2c9a4443-8a4c-ed11-aac0-0afb9334277d,5e509967-0d3b-4fe1-a275-231ba42473d5,321237.49234687502,2022-10-15T09:07:07-04:00,2022-10-15T09:07:07-04:00
