SurveyReactionTimeResultKey,SurveyStepResultKey,SurveyResultKey,ParticipantIdentifier,ReactionTime,StartDate,EndDate
fb2054c8-464d-ed11-aac0-0afb9334277d,c32054c8-464d-ed11-aac0-0afb9334277d,5ad65ac2-464d-ed11-aac0-0afb9334277d,2baee05a-5e5a-4436-8c25-2628d46d1e08,160281.83984145834,2022-10-16T07:35:59-04:00,2022-10-16T07:35:59-04:00
182154c8-464d-ed11-aac0-0afb9334277d,c32054c8-464d-ed11-aac0-0afb9334277d,5ad65ac2-464d-ed11-aac0-0afb9334277d,2baee05a-5e5a-4436-8c25-2628d46d1e08,160296.37368633333,2022-10-16T07:36:14-04:00,2022-10-16T07:36:14-04:00
202154c8-464d-ed11-aac0-0afb9334277d,c32054c8-464d-ed11-aac0-0afb9334277d,5ad65ac2-464d-ed11-aac0-0afb9334277d,2baee05a-5e5a-4436-8c25-2628d46d1e08,160306.05738970835,2022-10-16T07:36:24-04:00,2022-10-16T07:36:24-04:00
31738215-4c4d-ed11-aac0-0afb9334277d,f8728215-4c4d-ed11-aac0-0afb9334277d,9d728215-4c4d-ed11-aac0-0afb9334277d,412330b3-cc02-4030-96cd-f4cfdcc45fa6,484406.06586300005,2022-10-16T08:14:07-04:00,2022-10-16T08:14:07-04:00
71738215-4c4d-ed11-aac0-0afb9334277d,f8728215-4c4d-ed11-aac0-0afb9334277d,9d728215-4c4d-ed11-aac0-0afb9334277d,412330b3-cc02-4030-96cd-f4cfdcc45fa6,484416.05627779168,2022-10-16T08:14:17-04:00,2022-10-16T08:14:17-04:00
72738215-4c4d-ed11-aac0-0afb9334277d,f8728215-4c4d-ed11-aac0-0afb9334277d,9d728215-4c4d-ed11-aac0-0afb9334277d,412330b3-cc02-4030-96cd-f4cfdcc45fa6,484424.34180437506,2022-10-16T08:14:26-04:00,2022-10-16T08:14:26-04:00
1d4b1d1d-4d4d-ed11-aac0-0afb9334277d,eb4a1d1d-4d4d-ed11-aac0-0afb9334277d,c74a1d1d-4d4d-ed11-aac0-0afb9334277d,fed3a16b-c5a3-4a84-a111-32b7574e04b5,90935.128217916674,2022-10-16T08:21:33-04:00,2022-10-16T08:21:33-04:00
284b1d1d-4d4d-ed11-aac0-0afb9334277d,eb4a1d1d-4d4d-ed11-aac0-0afb9334277d,c74a1d1d-4d4d-ed11-aac0-0afb9334277d,fed3a16b-c5a3-4a84-a111-32b7574e04b5,90946.779577666675,2022-10-16T08:21:45-04:00,2022-10-16T08:21:45-04:00
2b4b1d1d-4d4d-ed11-aac0-0afb9334277d,eb4a1d1d-4d4d-ed11-aac0-0afb9334277d,c74a1d1d-4d4d-ed11-aac0-0afb9334277d,fed3a16b-c5a3-4a84-a111-32b7574e04b5,90957.022701000009,2022-10-16T08:21:56-04:00,2022-10-16T08:21:56-04:00
92f8a417-524d-ed11-aac0-0afb9334277d,40f8a417-524d-ed11-aac0-0afb9334277d,f1f7a417-524d-ed11-aac0-0afb9334277d,39d785c6-9e3d-44c2-88ec-2ce14ef923f9,4117.2590589166666,2022-10-16T08:57:11-04:00,2022-10-16T08:57:11-04:00
b3f8a417-524d-ed11-aac0-0afb9334277d,40f8a417-524d-ed11-aac0-0afb9334277d,f1f7a417-524d-ed11-aac0-0afb9334277d,39d785c6-9e3d-44c2-88ec-2ce14ef923f9,4124.7978509583336,2022-10-16T08:57:19-04:00,2022-10-16T08:57:19-04:00
b9f8a417-524d-ed11-aac0-0afb9334277d,40f8a417-524d-ed11-aac0-0afb9334277d,f1f7a417-524d-ed11-aac0-0afb9334277d,39d785c6-9e3d-44c2-88ec-2ce14ef923f9,4136.201127041667,2022-10-16T08:57:30-04:00,2022-10-16T08:57:30-04:00
e26dce7f-544d-ed11-aac0-0afb9334277d,ae6dce7f-544d-ed11-aac0-0afb9334277d,5e6dce7f-544d-ed11-aac0-0afb9334277d,bf670311-c590-473a-98ab-d719ebf0f2ab,112479.92990591668,2022-10-16T09:14:30-04:00,2022-10-16T09:14:30-04:00
f56dce7f-544d-ed11-aac0-0afb9334277d,ae6dce7f-544d-ed11-aac0-0afb9334277d,5e6dce7f-544d-ed11-aac0-0afb9334277d,bf670311-c590-473a-98ab-d719ebf0f2ab,112487.55798283334,2022-10-16T09:14:37-04:00,2022-10-16T09:14:37-04:00
