SurveyStepResultKey,SurveyResultKey,ParticipantIdentifier,StepIdentifier,StartDate,EndDate
8c94f40b-6645-ed11-aac0-0afb9334277d,7c94f40b-6645-ed11-aac0-0afb9334277d,98cb45a7-4057-4e81-b1d7-e7aede5e106e,instruction,2022-10-06T06:58:36-04:00,2022-10-06T06:58:38-04:00
9094f40b-6645-ed11-aac0-0afb9334277d,7c94f40b-6645-ed11-aac0-0afb9334277d,98cb45a7-4057-4e81-b1d7-e7aede5e106e,instruction1,2022-10-06T06:58:38-04:00,2022-10-06T06:58:38-04:00
9194f40b-6645-ed11-aac0-0afb9334277d,7c94f40b-6645-ed11-aac0-0afb9334277d,98cb45a7-4057-4e81-b1d7-e7aede5e106e,countdown,2022-10-06T06:58:39-04:00,2022-10-06T06:58:44-04:00
9294f40b-6645-ed11-aac0-0afb9334277d,7c94f40b-6645-ed11-aac0-0afb9334277d,98cb45a7-4057-4e81-b1d7-e7aede5e106e,psat,2022-10-06T06:58:44-04:00,2022-10-06T07:00:17-04:00
de90fa05-6645-ed11-aac0-0afb9334277d,bf90fa05-6645-ed11-aac0-0afb9334277d,2baee05a-5e5a-4436-8c25-2628d46d1e08,instruction,2022-10-06T06:59:41-04:00,2022-10-06T06:59:41-04:00
e090fa05-6645-ed11-aac0-0afb9334277d,bf90fa05-6645-ed11-aac0-0afb9334277d,2baee05a-5e5a-4436-8c25-2628d46d1e08,instruction1,2022-10-06T06:59:41-04:00,2022-10-06T06:59:42-04:00
e190fa05-6645-ed11-aac0-0afb9334277d,bf90fa05-6645-ed11-aac0-0afb9334277d,2baee05a-5e5a-4436-8c25-2628d46d1e08,instruction2,2022-10-06T06:59:42-04:00,2022-10-06T06:59:43-04:00
e390fa05-6645-ed11-aac0-0afb9334277d,bf90fa05-6645-ed11-aac0-0afb9334277d,2baee05a-5e5a-4436-8c25-2628d46d1e08,countdown,2022-10-06T06:59:43-04:00,2022-10-06T06:59:46-04:00
e590fa05-6645-ed11-aac0-0afb9334277d,bf90fa05-6645-ed11-aac0-0afb9334277d,2baee05a-5e5a-4436-8c25-2628d46d1e08,trailmaking,2022-10-06T06:59:46-04:00,2022-10-06T06:59:58-04:00
e690fa05-6645-ed11-aac0-0afb9334277d,bf90fa05-6645-ed11-aac0-0afb9334277d,2baee05a-5e5a-4436-8c25-2628d46d1e08,conclusion,2022-10-06T06:59:58-04:00,2022-10-06T07:00:01-04:00
