SurveyReactionTimeResultKey,SurveyStepResultKey,SurveyResultKey,ParticipantIdentifier,ReactionTime,StartDate,EndDate
b93df95f-b14b-ed11-aac0-0afb9334277d,ad3df95f-b14b-ed11-aac0-0afb9334277d,a43df95f-b14b-ed11-aac0-0afb9334277d,412330b3-cc02-4030-96cd-f4cfdcc45fa6,425105.36785950005,2022-10-14T07:14:20-04:00,2022-10-14T07:14:20-04:00
ba3df95f-b14b-ed11-aac0-0afb9334277d,ad3df95f-b14b-ed11-aac0-0afb9334277d,a43df95f-b14b-ed11-aac0-0afb9334277d,412330b3-cc02-4030-96cd-f4cfdcc45fa6,425113.24097487505,2022-10-14T07:14:27-04:00,2022-10-14T07:14:27-04:00
bb3df95f-b14b-ed11-aac0-0afb9334277d,ad3df95f-b14b-ed11-aac0-0afb9334277d,a43df95f-b14b-ed11-aac0-0afb9334277d,412330b3-cc02-4030-96cd-f4cfdcc45fa6,425124.68546454172,2022-10-14T07:14:39-04:00,2022-10-14T07:14:39-04:00
86e359b2-b54b-ed11-aac0-0afb9334277d,78e359b2-b54b-ed11-aac0-0afb9334277d,6de359b2-b54b-ed11-aac0-0afb9334277d,151eec8c-0ba1-48ba-afc8-f2874dad3a2b,45501.694112291669,2022-10-14T07:45:08-04:00,2022-10-14T07:45:08-04:00
87e359b2-b54b-ed11-aac0-0afb9334277d,78e359b2-b54b-ed11-aac0-0afb9334277d,6de359b2-b54b-ed11-aac0-0afb9334277d,151eec8c-0ba1-48ba-afc8-f2874dad3a2b,45509.347211375003,2022-10-14T07:45:15-04:00,2022-10-14T07:45:15-04:00
88e359b2-b54b-ed11-aac0-0afb9334277d,78e359b2-b54b-ed11-aac0-0afb9334277d,6de359b2-b54b-ed11-aac0-0afb9334277d,151eec8c-0ba1-48ba-afc8-f2874dad3a2b,45520.613699000001,2022-10-14T07:45:27-04:00,2022-10-14T07:45:27-04:00
ec20953d-b84b-ed11-aac0-0afb9334277d,e020953d-b84b-ed11-aac0-0afb9334277d,d720953d-b84b-ed11-aac0-0afb9334277d,7d501571-5d23-4f09-9266-1644f4f71add,39216.407494958337,2022-10-14T08:03:22-04:00,2022-10-14T08:03:22-04:00
ed20953d-b84b-ed11-aac0-0afb9334277d,e020953d-b84b-ed11-aac0-0afb9334277d,d720953d-b84b-ed11-aac0-0afb9334277d,7d501571-5d23-4f09-9266-1644f4f71add,39223.792371791671,2022-10-14T08:03:31-04:00,2022-10-14T08:03:31-04:00
ee20953d-b84b-ed11-aac0-0afb9334277d,e020953d-b84b-ed11-aac0-0afb9334277d,d720953d-b84b-ed11-aac0-0afb9334277d,7d501571-5d23-4f09-9266-1644f4f71add,39235.787482250002,2022-10-14T08:03:42-04:00,2022-10-14T08:03:42-04:00
b30787ee-bc4b-ed11-aac0-0afb9334277d,970787ee-bc4b-ed11-aac0-0afb9334277d,730787ee-bc4b-ed11-aac0-0afb9334277d,39d785c6-9e3d-44c2-88ec-2ce14ef923f9,27256.447254333336,2022-10-14T08:36:53-04:00,2022-10-14T08:36:53-04:00
c20787ee-bc4b-ed11-aac0-0afb9334277d,970787ee-bc4b-ed11-aac0-0afb9334277d,730787ee-bc4b-ed11-aac0-0afb9334277d,39d785c6-9e3d-44c2-88ec-2ce14ef923f9,27263.966609458334,2022-10-14T08:37:01-04:00,2022-10-14T08:37:01-04:00
c40787ee-bc4b-ed11-aac0-0afb9334277d,970787ee-bc4b-ed11-aac0-0afb9334277d,730787ee-bc4b-ed11-aac0-0afb9334277d,39d785c6-9e3d-44c2-88ec-2ce14ef923f9,27275.278012750001,2022-10-14T08:37:12-04:00,2022-10-14T08:37:12-04:00
77b9068e-be4b-ed11-aac0-0afb9334277d,42030f88-be4b-ed11-aac0-0afb9334277d,81020f88-be4b-ed11-aac0-0afb9334277d,bf670311-c590-473a-98ab-d719ebf0f2ab,46266.219764083333,2022-10-14T08:48:21-04:00,2022-10-14T08:48:21-04:00
acb9068e-be4b-ed11-aac0-0afb9334277d,42030f88-be4b-ed11-aac0-0afb9334277d,81020f88-be4b-ed11-aac0-0afb9334277d,bf670311-c590-473a-98ab-d719ebf0f2ab,46283.930813916668,2022-10-14T08:48:38-04:00,2022-10-14T08:48:38-04:00
adb9068e-be4b-ed11-aac0-0afb9334277d,42030f88-be4b-ed11-aac0-0afb9334277d,81020f88-be4b-ed11-aac0-0afb9334277d,bf670311-c590-473a-98ab-d719ebf0f2ab,46293.682910208336,2022-10-14T08:48:48-04:00,2022-10-14T08:48:48-04:00
6d96bf3d-c04b-ed11-aac0-0afb9334277d,5d96bf3d-c04b-ed11-aac0-0afb9334277d,4796bf3d-c04b-ed11-aac0-0afb9334277d,fed3a16b-c5a3-4a84-a111-32b7574e04b5,488120.64665420837,2022-10-14T09:00:44-04:00,2022-10-14T09:00:44-04:00
7396bf3d-c04b-ed11-aac0-0afb9334277d,5d96bf3d-c04b-ed11-aac0-0afb9334277d,4796bf3d-c04b-ed11-aac0-0afb9334277d,fed3a16b-c5a3-4a84-a111-32b7574e04b5,488128.62752154167,2022-10-14T09:00:52-04:00,2022-10-14T09:00:52-04:00
7c96bf3d-c04b-ed11-aac0-0afb9334277d,5d96bf3d-c04b-ed11-aac0-0afb9334277d,4796bf3d-c04b-ed11-aac0-0afb9334277d,fed3a16b-c5a3-4a84-a111-32b7574e04b5,488140.02601466671,2022-10-14T09:01:03-04:00,2022-10-14T09:01:03-04:00
3f9c35d5-c04b-ed11-aac0-0afb9334277d,309c35d5-c04b-ed11-aac0-0afb9334277d,269c35d5-c04b-ed11-aac0-0afb9334277d,aa51d1af-6023-460d-b6e3-4ee3d8e9d6bd,920000.13438291673,2022-10-14T09:04:56-04:00,2022-10-14T09:04:56-04:00
429c35d5-c04b-ed11-aac0-0afb9334277d,309c35d5-c04b-ed11-aac0-0afb9334277d,269c35d5-c04b-ed11-aac0-0afb9334277d,aa51d1af-6023-460d-b6e3-4ee3d8e9d6bd,920007.75390050001,2022-10-14T09:05:03-04:00,2022-10-14T09:05:03-04:00
