SurveyStroopResultKey,SurveyStepResultKey,SurveyResultKey,ParticipantIdentifier,StartTime,EndTime,ColorSelected,Color,Text,StroopStyle,StartDate,EndDate
6afd0514-b04b-ed11-aac0-0afb9334277d,5afd0514-b04b-ed11-aac0-0afb9334277d,49fd0514-b04b-ed11-aac0-0afb9334277d,412330b3-cc02-4030-96cd-f4cfdcc45fa6,424534.92841433338,424536.18208062503,BLUE,BLUE,BLUE,,2022-10-14T07:04:42-04:00,2022-10-14T07:04:42-04:00
6bfd0514-b04b-ed11-aac0-0afb9334277d,5afd0514-b04b-ed11-aac0-0afb9334277d,49fd0514-b04b-ed11-aac0-0afb9334277d,412330b3-cc02-4030-96cd-f4cfdcc45fa6,424536.68666820833,424537.65031708335,GREEN,GREEN,YELLOW,,2022-10-14T07:04:44-04:00,2022-10-14T07:04:44-04:00
6cfd0514-b04b-ed11-aac0-0afb9334277d,5afd0514-b04b-ed11-aac0-0afb9334277d,49fd0514-b04b-ed11-aac0-0afb9334277d,412330b3-cc02-4030-96cd-f4cfdcc45fa6,424538.15334916668,424539.02078108338,RED,RED,GREEN,,2022-10-14T07:04:45-04:00,2022-10-14T07:04:45-04:00
6dfd0514-b04b-ed11-aac0-0afb9334277d,5afd0514-b04b-ed11-aac0-0afb9334277d,49fd0514-b04b-ed11-aac0-0afb9334277d,412330b3-cc02-4030-96cd-f4cfdcc45fa6,424539.52364666667,424540.79227408336,BLUE,BLUE,RED,,2022-10-14T07:04:47-04:00,2022-10-14T07:04:47-04:00
6efd0514-b04b-ed11-aac0-0afb9334277d,5afd0514-b04b-ed11-aac0-0afb9334277d,49fd0514-b04b-ed11-aac0-0afb9334277d,412330b3-cc02-4030-96cd-f4cfdcc45fa6,424541.29535866668,424542.31325741671,YELLOW,YELLOW,BLUE,,2022-10-14T07:04:48-04:00,2022-10-14T07:04:48-04:00
6ffd0514-b04b-ed11-aac0-0afb9334277d,5afd0514-b04b-ed11-aac0-0afb9334277d,49fd0514-b04b-ed11-aac0-0afb9334277d,412330b3-cc02-4030-96cd-f4cfdcc45fa6,424542.81608858338,424543.55014062504,YELLOW,YELLOW,YELLOW,,2022-10-14T07:04:50-04:00,2022-10-14T07:04:50-04:00
70fd0514-b04b-ed11-aac0-0afb9334277d,5afd0514-b04b-ed11-aac0-0afb9334277d,49fd0514-b04b-ed11-aac0-0afb9334277d,412330b3-cc02-4030-96cd-f4cfdcc45fa6,424544.05314454169,424544.95419095835,RED,RED,RED,,2022-10-14T07:04:51-04:00,2022-10-14T07:04:51-04:00
71fd0514-b04b-ed11-aac0-0afb9334277d,5afd0514-b04b-ed11-aac0-0afb9334277d,49fd0514-b04b-ed11-aac0-0afb9334277d,412330b3-cc02-4030-96cd-f4cfdcc45fa6,424545.45698200003,424546.6759711667,GREEN,GREEN,GREEN,,2022-10-14T07:04:53-04:00,2022-10-14T07:04:53-04:00
72fd0514-b04b-ed11-aac0-0afb9334277d,5afd0514-b04b-ed11-aac0-0afb9334277d,49fd0514-b04b-ed11-aac0-0afb9334277d,412330b3-cc02-4030-96cd-f4cfdcc45fa6,424547.179087125,424548.69861358334,RED,RED,BLUE,,2022-10-14T07:04:55-04:00,2022-10-14T07:04:55-04:00
73fd0514-b04b-ed11-aac0-0afb9334277d,5afd0514-b04b-ed11-aac0-0afb9334277d,49fd0514-b04b-ed11-aac0-0afb9334277d,412330b3-cc02-4030-96cd-f4cfdcc45fa6,424549.20185083337,424550.21949733334,BLUE,BLUE,YELLOW,,2022-10-14T07:04:56-04:00,2022-10-14T07:04:56-04:00
