AppleLocationVisitKey,ParticipantIdentifier,ArrivalTime,DepartureTime,Latitude,Longitude,HorizontalAccuracy,InsertedDate
af0d4031-f94f-ed11-aac0-0afb9334277d,3223b573-6de0-4aeb-b005-dd2e467b1e62,2022-10-19T17:57:28-04:00,,43.78240675537517,-79.18470827473773,35,2022-10-19T21:58:49Z
e46e5d71-f34f-ed11-aac0-0afb9334277d,3223b573-6de0-4aeb-b005-dd2e467b1e62,2022-10-19T17:12:15-04:00,,43.784991850170677,-79.186970233981597,20,2022-10-19T21:17:34Z
e36e5d71-f34f-ed11-aac0-0afb9334277d,3223b573-6de0-4aeb-b005-dd2e467b1e62,2022-10-18T18:48:10-04:00,2022-10-19T17:12:15-04:00,43.7827641549475,-79.185392617198843,59.802603899228423,2022-10-19T21:17:34Z
cabff361-a84f-ed11-aac0-0afb9334277d,98cb45a7-4057-4e81-b1d7-e7aede5e106e,2022-10-19T08:19:38-04:00,,43.784911855315393,-79.186494099896663,5.0644951809825001,2022-10-19T12:20:23Z
7cbcedc6-e74f-ed11-aac0-0afb9334277d,bbd82a98-a1c9-4229-afc3-cc201067b909,2022-10-19T15:46:54-04:00,,43.798068151099969,-79.221306592394228,32,2022-10-19T19:54:03Z
74bcedc6-e74f-ed11-aac0-0afb9334277d,bbd82a98-a1c9-4229-afc3-cc201067b909,2022-10-19T14:32:27-04:00,2022-10-19T15:41:05-04:00,43.806626135226061,-79.221658933704788,78.682759252382056,2022-10-19T19:54:03Z
6bbcedc6-e74f-ed11-aac0-0afb9334277d,bbd82a98-a1c9-4229-afc3-cc201067b909,2022-10-19T14:32:27-04:00,,43.806682209605668,-79.221326578491613,56.836942178555063,2022-10-19T19:54:03Z
62bcedc6-e74f-ed11-aac0-0afb9334277d,bbd82a98-a1c9-4229-afc3-cc201067b909,2022-10-19T14:12:42-04:00,2022-10-19T14:26:40-04:00,43.795607456571695,-79.230798856192251,62.888695546512324,2022-10-19T19:54:03Z
61bcedc6-e74f-ed11-aac0-0afb9334277d,bbd82a98-a1c9-4229-afc3-cc201067b909,2022-10-19T14:12:42-04:00,,43.795609656348248,-79.230770698355883,58.02863428486004,2022-10-19T19:54:03Z
64bcedc6-e74f-ed11-aac0-0afb9334277d,bbd82a98-a1c9-4229-afc3-cc201067b909,2022-10-18T17:26:16-04:00,2022-10-19T14:07:28-04:00,43.797842707691473,-79.221547938592678,20.439532565266806,2022-10-19T19:54:03Z
